State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,01-01-2015,1250,1600,1450,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,01-01-2015,700,1500,1100,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,01-01-2015,400,1500,950,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,02-01-2015,150,1200,725,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,02-01-2015,1000,1800,1400,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,02-01-2015,700,1800,1250,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,02-01-2015,500,1000,750,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-01-2015,300,1700,1100,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,03-01-2015,800,1600,1200,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,04-01-2015,100,1400,850,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,04-01-2015,1600,2000,1800,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-01-2015,400,1800,1000,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,05-01-2015,700,1800,1250,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,05-01-2015,400,2000,1200,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,06-01-2015,1200,1850,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,06-01-2015,800,1800,1300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,07-01-2015,300,1800,1150,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,07-01-2015,150,1400,900,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,07-01-2015,800,1900,1350,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,07-01-2015,500,1400,950,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,07-01-2015,1300,1300,1300,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,08-01-2015,900,1550,1250,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,08-01-2015,1600,2000,1800,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,08-01-2015,700,1800,1250,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,08-01-2015,400,1200,800,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,09-01-2015,120,1580,1535,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,09-01-2015,800,1800,1300,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,09-01-2015,300,1300,800,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,11-01-2015,200,1600,995,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,11-01-2015,900,1200,1000,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,11-01-2015,1000,1700,1400,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,11-01-2015,1200,1600,1400,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,11-01-2015,600,1600,1100,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,13-01-2015,1100,1700,1400,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,14-01-2015,100,1200,500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,14-01-2015,700,1700,1200,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,15-01-2015,700,1550,1250,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,16-01-2015,200,1300,1100,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,16-01-2015,700,1700,1200,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,16-01-2015,1500,1500,1500,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,17-01-2015,300,1600,950,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,18-01-2015,200,1400,900,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,18-01-2015,500,1700,1200,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,18-01-2015,1200,1800,1500,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,18-01-2015,1200,1700,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,18-01-2015,600,1800,1200,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,18-01-2015,300,1500,900,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,18-01-2015,3000,3000,3000,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,19-01-2015,600,1600,1100,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,19-01-2015,600,1500,1050,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,20-01-2015,1200,1800,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,20-01-2015,700,1700,1200,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,20-01-2015,1200,1600,1400,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,21-01-2015,100,1200,850,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,21-01-2015,700,1600,1150,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,21-01-2015,300,1500,900,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,22-01-2015,1200,1750,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,22-01-2015,600,1500,1050,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,22-01-2015,400,1500,950,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,22-01-2015,1100,1100,1100,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,23-01-2015,250,1400,1175,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,25-01-2015,125,1550,700,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,25-01-2015,1000,1600,1300,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,25-01-2015,1200,1750,1500,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,25-01-2015,1200,1750,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,25-01-2015,600,1500,1050,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,27-01-2015,1100,1710,1400,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,27-01-2015,700,1600,1150,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,27-01-2015,700,1500,1100,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,28-01-2015,100,1550,1100,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,28-01-2015,700,1600,1150,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,28-01-2015,1300,1600,1450,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,29-01-2015,1400,1800,1600,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,29-01-2015,700,1600,1150,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,29-01-2015,300,1400,850,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,30-01-2015,100,1400,1000,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,30-01-2015,1200,1850,1500,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,30-01-2015,700,1500,1100,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,30-01-2015,600,1500,1050,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,30-01-2015,1400,1400,1400,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,31-01-2015,400,1500,950,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,31-01-2015,1200,1300,1250,23
Maharashtra,Pune,Indapur,Onion,Other,FAQ,01-02-2015,250,1510,1150,23
Maharashtra,Pune,Junnar,Onion,Other,FAQ,01-02-2015,500,1900,1400,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,01-02-2015,1200,1900,1600,23
Maharashtra,Pune,Junnar(Otur),Onion,Other,FAQ,01-02-2015,1400,1800,1600,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,01-02-2015,700,1700,1200,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,01-02-2015,500,1500,1000,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,02-02-2015,800,1700,1250,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,02-02-2015,300,1400,850,23
Maharashtra,Pune,Junnar(Alephata),Onion,Other,FAQ,03-02-2015,1200,2000,1600,23
Maharashtra,Pune,Pune,Onion,Other,FAQ,03-02-2015,800,1800,1300,23
Maharashtra,Pune,Pune(Khadiki),Onion,Other,FAQ,03-02-2015,300,1600,950,23
Maharashtra,Pune,Pune(Pimpri),Onion,Other,FAQ,03-02-2015,1500,1500,1500,23
